year,state,medianincome,se,footnote
2012,Kentucky,42365,1959,none
2012,Louisiana,40302,1661,none
2012,Maine,50688,2317,none
2012,Maryland,74072,1909,none
2012,Massachusetts,65638,3890,none
2012,Michigan,51572,1562,none
2012,Minnesota,63719,1381,none
2012,Mississippi,37782,1594,none
2012,Missouri,51313,2106,none
2012,Montana,46492,2645,none
2012,Nebraska,53821,2783,none
2012,Nevada,48806,2612,none
2012,New Hampshire,69930,2293,none
2012,New Jersey,68768,2021,none
2012,New Mexico,44776,2338,none
2012,New York,49164,1634,none
2012,North Carolina,42847,1334,none
2012,North Dakota,57502,2189,none
2012,Ohio,45756,1777,none
2012,Oklahoma,49914,2909,none
2012,Oregon,53387,2403,none
2012,Pennsylvania,53520,1449,none
2012,Rhode Island,57810,2641,none
2012,South Carolina,45783,2224,none
2012,South Dakota,50953,1758,none
2012,Tennessee,44333,2482,none
2012,Texas,53542,980,none
2012,Utah,60157,3036,none
2012,Vermont,57312,3124,none
2012,Virginia,66644,2233,none
2012,Washington,64123,2319,none
2012,West Virginia,44909,2860,none
2012,Wisconsin,54731,1762,none
2011,United States,52690,264,none
2011,Alabama,44833,2127,none
2011,Alaska,60456,3905,none
2011,Arizona,51182,2552,none
2011,Arkansas,43477,1946,none
2011,California,56177,1451,none
2011,Colorado,61717,2687,none
2011,Connecticut,68860,3173,none
2011,Delaware,57539,1837,none
2011,D.C.,58161,2220,none
2011,Florida,47480,1198,none
2011,Georgia,48394,2614,none
2011,Hawaii,62157,2664,none
2011,Idaho,49958,3672,none
2011,Illinois,53304,1446,none
2011,Indiana,46786,2431,none
2011,Iowa,52864,2078,none
2011,Kansas,48577,2053,none
2011,Kentucky,41955,1944,none
2011,Louisiana,42799,2031,none
2011,Maine,52310,2087,none
2011,Maryland,72503,2237,none
2011,Massachusetts,66647,3396,none
2011,Michigan,51453,1941,none
2011,Minnesota,60865,2505,none
2011,Mississippi,43254,2491,none
2011,Missouri,48185,2271,none
2011,Montana,42398,2143,none
2011,Nebraska,58545,2835,none
2011,Nevada,49520,2810,none
2011,New Hampshire,69349,1739,none
2011,New Jersey,65621,3187,none
2011,New Mexico,44193,2267,none
2011,New York,53303,1059,none
2011,North Carolina,47587,1642,none
2011,North Dakota,59329,3116,none
2011,Ohio,46999,1263,none
2011,Oklahoma,51007,2521,none
2011,Oregon,54240,1692,none
2011,Pennsylvania,52538,1783,none
2011,Rhode Island,51615,2403,none
2011,South Carolina,42195,1792,none
2011,South Dakota,49710,2260,none
2011,Tennessee,44506,2691,none
2011,Texas,51630,1214,none
2011,Utah,58415,1746,none
2011,Vermont,54593,2113,none
2011,Virginia,65914,1866,none
2011,Washington,59844,2087,none
2011,West Virginia,44023,1859,none
2011,Wisconsin,54800,2176,none
2010,United States,53507,353,none
2010,Alabama,44447,2602,none
2010,Alaska,62814,2595,none
2010,Arizona,50922,2418,none
2010,Arkansas,41900,2675,none
2010,California,58943,1283,none
2010,Colorado,65404,2694,none
2010,Connecticut,71665,2275,none
2010,Delaware,59955,2449,none
2010,D.C.,61816,3619,none
2010,Florida,47850,1676,none
2010,Georgia,47905,1979,none
2010,Hawaii,64651,2966,none
2010,Idaho,51090,2029,none
2010,Illinois,55083,1600,none
2010,Indiana,50101,2794,none
2010,Iowa,53224,1457,none
2010,Kansas,50008,1972,none
2010,Kentucky,44633,3065,none
2010,Louisiana,42675,3527,none
2010,Maine,52046,1832,none
2010,Maryland,69713,2494,none
2010,Massachusetts,66165,2381,none
2010,Michigan,50249,1886,none
2010,Minnesota,56814,1744,none
2010,Mississippi,41436,3073,none
2010,Missouri,49750,2343,none
2010,Montana,44824,2005,none
2010,Nebraska,57012,1912,none
2010,Nevada,55596,2088,none
2010,New Hampshire,72354,1793,none
2010,New Jersey,68374,2653,none
2010,New Mexico,49010,3275,none
2010,New York,54055,1433,none
2010,North Carolina,47593,2088,none
2010,North Dakota,55385,2510,none
2010,Ohio,49825,1621,none
2010,Oklahoma,46804,2251,none
2010,Oregon,54946,1635,none
2010,Pennsylvania,52462,1637,none
2010,Rhode Island,56055,1879,none
2010,South Carolina,45278,1585,none
2010,South Dakota,49246,2220,none
2010,Tennessee,41905,1364,none
2010,Texas,51324,1259,none
2010,Utah,61569,2131,none
2010,Vermont,60730,2440,none
2010,Virginia,65550,2134,none
2010,Washington,60985,2236,none
2010,West Virginia,46450,2734,none
2010,Wisconsin,54674,1558,none
2009,United States,54925,235,none
2009,Alabama,44115,997,none
2009,Alaska,67975,1932,none
2009,Arizona,50470,1369,none
2009,Arkansas,40317,1003,none
2009,California,61940,683,none
2009,Colorado,61715,1760,none
2009,Connecticut,71558,2547,none
2009,Delaware,57504,1965,none
2009,D.C.,58637,2304,none
2009,Florida,50350,779,none
2009,Georgia,47823,1386,none
2009,Hawaii,61405,2232,none
2009,Idaho,51616,1395,none
2009,Illinois,58338,1038,none
2009,Indiana,48887,1197,none
2009,Iowa,55967,1694,none
2009,Kansas,49342,1973,none
2009,Kentucky,47077,1449,none
2009,Louisiana,50132,2001,none
2009,Maine,52415,1919,none
2009,Maryland,70825,1847,none
2009,Massachusetts,65514,1930,none
2009,Michigan,50751,1107,none
2009,Minnesota,61891,1365,none
2009,Mississippi,38706,1439,none
2009,Missouri,53813,1760,none
2009,Montana,44619,1106,none
2009,Nebraska,54724,1828,none
2009,Nevada,56754,1210,none
2009,New Hampshire,70764,2048,none
2009,New Jersey,71477,2117,none
2009,New Mexico,48045,1649,none
2009,New York,55410,661,none
2009,North Carolina,46240,636,none
2009,North Dakota,55254,1918,none
2009,Ohio,50624,691,none
2009,Oklahoma,50623,1257,none
2009,Oregon,54176,1814,none
2009,Pennsylvania,53154,1034,none
2009,Rhode Island,56974,1596,none
2009,South Carolina,45352,1228,none
2009,South Dakota,50566,1422,none
2009,Tennessee,44708,1090,none
2009,Texas,52385,820,none
2009,Utah,64541,1752,none
2009,Vermont,57729,1587,none
2009,Virginia,66758,1316,none
2009,Washington,66638,1323,none
2009,West Virginia,44678,1007,none
2009,Wisconsin,56536,889,none
2008,United States,55313,151,none
2008,Alabama,48905,1824,none
2008,Alaska,70362,2531,none
2008,Arizona,51586,1237,none
2008,Arkansas,43528,1313,none
2008,California,62692,912,none
2008,Colorado,67012,2087,none
2008,Connecticut,71124,2970,none
2008,Delaware,55751,1526,none
2008,D.C.,61126,1939,none
2008,Florida,49324,943,none
2008,Georgia,50831,1280,none
2008,Hawaii,67648,1628,none
2008,Idaho,52143,1848,none
2008,Illinois,58558,1457,none
2008,Indiana,51153,1303,none
2008,Iowa,55136,1422,none
2008,Kansas,52645,1550,none
2008,Kentucky,45246,893,none
2008,Louisiana,43503,1634,none
2008,Maine,51931,1579,none
2008,Maryland,70056,1945,none
2008,Massachusetts,66327,1841,none
2008,Michigan,54746,1269,none
2008,Minnesota,60395,1569,none
2008,Mississippi,40076,913,none
2008,Missouri,50623,1260,none
2008,Montana,47172,1940,none
2008,Nebraska,55780,1379,none
2008,Nevada,60196,2923,none
2008,New Hampshire,72766,3523,none
2008,New Jersey,71810,2526,none
2008,New Mexico,46295,1519,none
2008,New York,55486,750,none
2008,North Carolina,47205,930,none
2008,North Dakota,54574,1306,none
2008,Ohio,51608,932,none
2008,Oklahoma,50703,1024,none
2008,Oregon,56878,1511,none
2008,Pennsylvania,56521,648,none
2008,Rhode Island,58543,2638,none
2008,South Carolina,46353,1233,none
2008,South Dakota,56739,1094,none
2008,Tennessee,43656,1332,none
2008,Texas,51120,741,none
2008,Utah,68765,1678,none
2008,Vermont,55756,1080,none
2008,Virginia,68158,1591,none
2008,Washington,62271,2222,none
2008,West Virginia,41778,1544,none
2008,Wisconsin,56299,937,none
2007,United States,57357,160,none
2007,Alabama,48199,1621,none
2007,Alaska,71927,1808,none
2007,Arizona,53911,1776,none
